order_item_id,order_id,product_id,quantity,line_total
1,1464,35,2,901.56
2,2441,70,3,2072.91
3,489,97,2,3917.74
4,722,21,4,9468.4
5,946,80,3,2786.43
6,2087,111,3,2208.45
7,1636,39,1,3872.55
8,1041,34,1,417.6
9,2274,106,3,2654.67
10,2115,15,3,3414.3
11,1678,6,2,572.96
12,2883,66,4,14305.88
13,999,88,3,5288.13
14,1778,56,4,4434.68
15,2285,49,3,2638.5
16,957,92,4,4403.2
17,2967,1,1,2303.57
18,1590,65,3,10639.23
19,1162,28,2,1228.84
20,2521,100,4,16349.92
21,1869,20,3,2224.08
22,553,48,1,1019.17
23,1634,72,1,242.66
24,695,65,1,3546.41
25,317,90,1,6218.42
26,2646,51,3,7826.25
27,768,43,2,1700.18
28,2934,49,4,3518.0
29,2609,25,2,837.88
30,1972,74,4,5635.96
31,2306,76,2,2171.14
32,1504,41,3,4200.84
33,2805,71,3,7256.76
34,123,64,4,1636.72
35,2390,61,3,18335.97
36,1869,12,4,1206.28
37,1672,111,2,1472.3
38,1083,104,3,2992.02
39,1729,81,3,3428.82
40,2308,69,4,1845.12
41,1997,14,4,15484.64
42,2143,34,4,1670.4
43,1149,48,4,4076.68
44,2089,61,1,6111.99
45,1915,81,4,4571.76
46,254,35,1,450.78
47,7,119,2,2710.18
48,2776,65,4,14185.64
49,2117,59,1,1931.8
50,542,114,1,1245.16
51,89,114,1,1245.16
52,1939,36,3,2890.32
53,213,79,1,1052.71
54,2882,19,4,3809.04
55,266,115,4,1781.92
56,2960,42,4,3941.96
57,2341,69,1,461.28
58,1231,19,1,952.26
59,2381,107,3,6994.86
60,1005,39,2,7745.1
61,2095,69,3,1383.84
62,622,52,4,15063.72
63,427,12,4,1206.28
64,210,83,4,4224.28
65,888,47,3,4048.68
66,1444,76,4,4342.28
67,154,36,4,3853.76
68,415,63,4,6470.4
69,1181,76,1,1085.57
70,1285,82,2,3676.68
71,769,113,1,4830.7
72,983,51,1,2608.75
73,1512,112,2,1648.14
74,579,43,2,1700.18
75,2788,34,3,1252.8
76,2211,112,2,1648.14
77,1039,97,3,5876.61
78,2243,49,3,2638.5
79,542,18,1,2129.73
80,359,61,4,24447.96
81,850,57,1,998.25
82,427,93,1,501.13
83,2545,109,2,466.1
84,2876,5,2,8156.94
85,486,89,3,4912.83
86,1832,24,3,11406.12
87,1473,93,3,1503.39
88,1437,64,2,818.36
89,330,59,3,5795.4
90,1756,38,3,5490.33
91,2937,33,2,9518.02
92,1171,10,4,8631.68
93,259,37,1,868.21
94,2340,97,2,3917.74
95,143,87,3,2719.53
