company,industry,total_laid_off,percentage_laid_off,date,country,stage,funds_raised_millions
Twitter,Crypto,3467.0,0.17,02/04/2023,Germany,Private Equity,
Snap,Finance,3035.0,0.6,11-07-2023,USA,Post-IPO,
Stripe,Food,5449.0,0.12,2023-12-11,India,Series B,1576.9
INTEL,Crypto,3862.0,0.19,11-07-2023,Germany,Series D,2994.2
SPOTIFY,Consumer,5256.0,0.23,25-02-2024,Canada,Post-IPO,
AMAZON,Finance,266.0,0.35,03/12/2024,United States,Private Equity,1296.4
 IBM,Transportation,7770.0,0.23,10/25/2023,Canada,Series C,
Shopify,Healthcare,2093.0,0.37,03/23/2024,United States ,Series B,2023.3
NETFLIX,Retail,5026.0,0.27,2023-03-17,United States,Series B,2051.5
 Netflix,Finance,,0.22,2023-03-21,Germany,Post-IPO,133.0
 Peloton,Media,6065.0,0.39,03/19/2024,United States ,Private Equity,1402.5
 Spotify,Media,4793.0,0.27,02/06/2023,United Kingdom,Post-IPO,368.7
 Stripe,Media,7136.0,,27-02-2022,United States ,Post-IPO,1620.2
Netflix,Hardware,3555.0,0.18,20-08-2023,United States,Post-IPO,713.9
 Google,Consumer,824.0,0.42,2022-01-12,United Kingdom,Series B,
 IBM,Consumer,120.0,0.07,03/02/2024,United Kingdom,nan,1255.7
Spotify,Other,4433.0,0.2,2023-04-24,Sweden,Post-IPO,1117.8
UBER,Media,2093.0,0.23,11/09/2023,Brazil,Private Equity,1563.6
STRIPE,Transportation,7774.0,,2023-10-22,UK,Series D,
INTEL,Retail,6842.0,0.12,24-07-2022,Germany,Series B,2248.3
INTEL,Consumer,696.0,,20-05-2024,Brazil,Series D,1065.9
Stripe,Retail,,,2024-03-06,United Kingdom,Series C,952.9
 Netflix,Hardware,7045.0,0.49,2023-04-18,United States,Private Equity,1166.8
 Amazon,Other,72.0,0.33,09/19/2023,India,Series B,2829.3
 Uber,Transportation,3342.0,0.25,18-07-2023,United States ,Series C,2357.5
Stripe,Healthcare,4016.0,0.27,2023-01-30,United States ,Series D,
 Intel,Hardware,358.0,0.21,10/24/2023,Sweden,Private Equity,2801.0
Snap,Finance,3032.0,0.44,16-03-2023,Sweden,Private Equity,251.7
 Netflix,Healthcare,542.0,,08/28/2023,United Kingdom,Post-IPO,2839.6
Amazon,Retail,1762.0,0.37,08-08-2023,United States ,Series D,
Peloton,Media,1742.0,,2022-05-16,United Kingdom,Post-IPO,1820.9
INTEL,Media,6981.0,0.49,2024-01-23,USA,Post-IPO,966.6
Snap,Retail,3878.0,0.07,2024-03-23,United States ,nan,1020.2
