transaction_id,amount,hour_of_day,distance_from_home_km,distance_from_last_txn_km,ratio_to_median_purchase,is_online_order,used_chip,is_fraud
1,94.23,14,5.8,0.4,1.003190855552892,0,1,0
2,37.78,15,4.7,2.6,1.1498918707754695,0,1,0
3,50.29,7,8.8,1.4,0.9602755105543918,1,1,0
4,90.14,8,4.7,2.8,1.173760986901915,0,0,0
5,76.47,13,4.2,1.5,0.9222397675294606,0,1,0
6,24.87,8,6.9,0.3,0.611537442547854,0,0,0
7,53.52,15,1.6,0.7,0.6371761695878868,0,1,0
8,57.27,3,0.4,1.2,1.4768182916097998,1,1,0
9,132.97,11,1.9,1.3,0.5803427174660214,1,1,0
10,68.39,7,2.3,1.9,0.9315522637443107,1,1,0
11,24.56,9,5.3,3.7,1.0304862059081923,0,1,0
12,125.6,13,3.6,0.9,0.9852568002427037,0,1,0
13,68.78,15,7.7,4.1,0.4193689099326904,0,0,0
14,93.45,14,1.0,0.5,1.6724746355034537,0,1,0
15,23.22,12,11.2,1.7,1.037155990747683,0,1,0
16,96.14,3,5.1,0.2,0.9722918426050989,0,1,0
17,43.09,12,3.4,5.6,0.7858728311763605,0,1,0
18,32.26,14,4.5,2.7,0.9068277349661389,0,1,0
19,324.3,17,1.0,0.9,0.6257345266844265,1,1,0
20,25.97,19,8.7,13.3,1.4310779990840388,1,1,0
21,137.81,15,0.1,3.3,1.0874719963091526,1,0,0
22,30.2,14,3.0,0.2,1.1067438361701862,0,1,0
23,91.62,12,3.4,0.5,1.648009502752787,0,1,0
24,148.42,14,2.6,7.1,0.6783284555507033,0,1,0
25,91.97,12,19.9,1.7,0.992924678501959,1,0,0
26,126.79,19,0.8,1.2,0.9914716145694785,0,1,0
27,61.42,9,0.9,1.0,1.4519557653752164,0,1,0
28,129.72,13,7.3,4.6,0.6070863482403506,0,1,0
29,45.86,19,4.1,3.2,0.8324389897695872,1,0,0
30,131.76,17,3.8,0.0,0.8128455006722416,0,1,0
31,473.79,15,26.3,15.2,4.956710976794152,1,0,1
32,48.28,16,10.9,0.7,0.7467739702974794,1,1,0
33,94.97,23,2.4,2.3,0.8150811403939077,0,1,0
34,207.42,8,7.0,0.9,0.8737154702491197,0,1,0
35,137.89,9,7.2,0.5,0.9617183066931372,0,1,0
36,126.54,13,2.1,0.5,1.1420051739090153,1,1,0
37,100.03,7,23.3,1.1,1.6113709143314932,1,1,0
38,150.97,9,0.7,0.9,1.4805937374413807,0,1,0
39,46.45,15,9.2,3.5,0.7735657982238733,1,0,0
40,35.71,11,3.5,6.2,1.7460116224130873,1,1,0
41,68.25,16,1.5,0.5,0.7877755225653359,0,1,0
42,116.0,15,4.9,5.8,0.7627861577756478,1,1,0
43,16.95,13,1.9,0.6,0.7042853823576152,0,1,0
44,5.15,17,0.7,5.2,1.468140195794275,1,1,0
45,25.27,10,1.1,9.2,1.3009633396276432,0,1,0
46,17.74,14,3.3,0.5,0.7521246844332553,0,1,0
